StopID,Name,Shortname,Municipality,Zone,X,Y,RealTimeDatabaseID
3012020,Vollebekk [T-bane],VOL,OSL,1,602333,6645731,2
3012022,Vollebekkveien,VOBV,OSL,1,602019,6645768,1
3012023,Kroklia,KROL,OSL,1,601679,6645805,1
3012024,Øvre Risløkka,ØRLØ,OSL,1,601883,6645899,1
3012025,Økernbråten,ØKEB,OSL,1,601988,6646105,1
3012030,Linderud [T-bane],LIN,OSL,1,602748,6646293,2
3012031,Linderud T [buss],LINT,OSL,1,602752,6646336,1
3012032,Linne hotell,LINH,OSL,1,602210,6646111,1
3012033,Nedre Vollebekk,NVOL,OSL,1,602128,6645435,1
3012034,Siemens,SIEM,OSL,1,602892,6646043,1
3012035,Vollebekk (i Østre Aker vei),VOLB,OSL,1,602438,6645709,1
3012036,Veitvetveien,VEIV,OSL,1,603693,6646238,1
3012040,Veitvet [T-bane],VEI,OSL,1,603167,6646659,2
3012041,Veitvet (i Trondheimsveien),VEIT,OSL,1,603110,6646800,1
3012042,Veitvetstubben,VEIS,OSL,1,602879,6646573,1
3012043,Linderudsletta (sydsiden),LINS,OSL,1,602559,6646577,1
3012044,Linderudsletta (nordsiden),LISL,OSL,1,602549,6646639,1
3012045,Linderud senter (på brua),LINR,OSL,1,602613,6646574,1
3012046,Øvre Lunden,ØLU,OSL,1,602136,6646487,1
3012047,Kolåsbakken,KOBK,OSL,1,602355,6646638,1
3012050,Alna [tog],ALN,OSL,1,602500,6645160,3
3012051,Knud Bryns vei,KBV,OSL,1,601995,6644725,1
3012052,Nordre Hovin,NOHO,OSL,1,602204,6645167,1
3012055,Haraldrudveien,HRUV,OSL,1,602057,6644407,1
3012056,Persveien,PERV,OSL,1,601542,6644209,1
3012059,Travbanen,TRAB,OSL,1,601218,6646367,1
3012060,Bjerke (nordsiden av Trondhvn),BJE,OSL,1,601068,6646424,1
3012061,Bjerke (sydsiden av Trondhvn),BJER,OSL,1,601113,6646381,1
3012062,Refstadsvingen,REFS,OSL,1,601519,6646314,1
3012063,Refstadveien,REV,OSL,1,601809,6646169,1
3012064,Brobekk,BROB,OSL,1,601551,6646590,1
3012065,Årvoll senter,ÅRS,OSL,1,601027,6646645,1
3012066,Årvollveien,ÅRV,OSL,1,601159,6646790,1
3012070,Tonsenhagen,TO,OSL,1,602135,6646827,1
3012071,Tonsenhagen torg,TOT,OSL,1,601809,6646943,1
3012072,Stig,STIG,OSL,1,601541,6646928,1
3012073,Østreheimsveien,ØHV,OSL,1,601390,6646998,1
3012074,Steinbakken,STEB,OSL,1,601090,6646944,1
3012075,Stølsvegen,STØV,OSL,1,600929,6646960,1
3012076,Lofthus,LOFT,OSL,1,600735,6646922,1
3012077,Årrundveien,ÅRRV,OSL,1,600823,6646723,1
3012080,Aker sykehus (nordsiden Trh.vn),ASY,OSL,1,600429,6646189,1
3012081,Aker sykehus (sydsiden Trh.vn),AKSY,OSL,1,600414,6646150,1
3012086,Sinsenveien,SSV,OSL,1,600257,6645423,1
3012087,Lørenvangen,LØRV,OSL,1,600504,6645273,1
3012100,Sinsen [T-bane],SIS,OSL,1,599570,6645780,2
3012101,Sinsen T [buss],SIST,OSL,1,599591,6645670,1
3012102,Sinsenkrysset (sydsiden Trh.vn),SKRS,OSL,1,599798,6645809,1
3012103,Sinsenkrysset (Ringv. mot syd),SIKR,OSL,1,599800,6645727,1
3012104,Sinsenkrysset (nordsiden Trh.vn),SKRN,OSL,1,599771,6645867,1
3012105,Sinsenkrysset [trikk],SS,OSL,1,599648,6645973,1
3012110,Grefsen [tog],GF,OSL,1,599445,6646290,3
3012111,Grefsen stasjon [trikk],GFS,OSL,1,599524,6646271,1
3012112,Grefsen stasjon (Ringvn mot syd),GRST,OSL,1,599537,6646153,1
3012113,Grefsen stasjon (Ringv mot nord),GFST,OSL,1,599537,6646210,1
3012120,Storo [T-bane],STR,OSL,1,599359,6646583,2
3012121,Storo (på brua),STOT,OSL,1,599353,6646646,1
3012122,Storo (Ringvei-rampe sydover),STORT,OSL,1,599373,6646697,1
3012123,Storo (Ringvei-rampe nordover),STOR,OSL,1,599396,6646718,1
3012125,Nydalen [tog],NDA,OSL,1,598790,6647435,3
3012126,Nydalen stasjon (Ringveien),NYDS,OSL,1,598838,6647488,1
3012127,Lillo terrasse,LILT,OSL,1,599167,6647304,1
3012130,Nydalen [T-bane],NYD,OSL,1,598635,6647130,2
3012131,Nydalen T [buss],NYDT,OSL,1,598725,6647077,1
3012134,Gullhaugveien,GUHV,OSL,1,598844,6647039,1
3012135,Tamburveien,TAV,OSL,1,598782,6647296,1
3012140,Disen,D,OSL,1,599842,6646774,1
3012141,Lettvinten,LETV,OSL,1,599682,6646731,1
